Child_ID,Age,Condition,Produced_Gesture,Performance
1,62,without_gesture,0,39.51512241
2,66,without_gesture,0,48.54333502
3,61,with_gesture,0,37.17536266
4,50,without_gesture,0,58.1091675
5,57,without_gesture,1,27.07876446
6,65,without_gesture,0,49.25730111
7,69,with_gesture,0,35.86693127
8,58,with_gesture,0,12.09936975
9,52,without_gesture,0,43.52467925
10,67,with_gesture,1,69.31775716
11,61,without_gesture,1,35.79684108
12,69,without_gesture,0,61.41072962
13,72,with_gesture,0,15.41967772
14,52,without_gesture,0,58.39184693
15,66,without_gesture,0,55.48042258
16,72,with_gesture,0,49.20877232
17,72,with_gesture,0,51.00635083
18,56,without_gesture,0,37.1476716
19,50,with_gesture,0,33.5208485
20,55,with_gesture,0,25.3850294
21,54,with_gesture,0,45.6258506
22,57,without_gesture,0,35.74603688
23,56,without_gesture,0,36.84352407
24,66,with_gesture,0,38.99932755
25,51,without_gesture,0,85.12474305
26,61,without_gesture,0,34.32451851
27,64,with_gesture,1,59.13392888
28,58,with_gesture,0,50.67985027
29,54,with_gesture,0,32.85122477
30,68,without_gesture,0,44.64610799
31,59,without_gesture,0,79.26768196
32,62,without_gesture,0,56.2213553
33,57,without_gesture,1,49.97964351
34,60,with_gesture,1,35.44648436
35,54,with_gesture,0,0.001070654
36,56,without_gesture,0,81.97477516
37,56,without_gesture,0,21.87559918
38,57,without_gesture,0,57.38196006
39,70,with_gesture,1,84.54277579
40,68,without_gesture,0,13.0929618
41,54,with_gesture,1,74.22706355
42,68,without_gesture,0,50.00062845
43,53,with_gesture,1,15.17383554
44,72,with_gesture,0,20.47776983
45,49,with_gesture,0,13.81106185
46,52,without_gesture,0,35.37229638
47,55,without_gesture,0,14.75542693
48,59,with_gesture,0,59.67330689
49,60,with_gesture,1,100.0017534
50,65,with_gesture,1,22.0784162
51,48,without_gesture,0,65.35990103
52,72,with_gesture,0,65.61357034
53,72,without_gesture,1,61.73837136
54,53,without_gesture,0,25.41215702
55,68,without_gesture,1,41.14269437
56,62,without_gesture,0,51.48462627
57,56,without_gesture,0,57.90444402
58,62,without_gesture,0,37.34957346
59,63,without_gesture,0,62.30202007
60,67,with_gesture,0,34.43658159
