SubID	Att	PP	BC
1	1	1	3
2	1	1	4
3	1	1	5
4	1	1	6
5	1	1	7
6	1	2	3
7	1	2	4
8	1	2	5
9	1	2	6
10	1	2	7
11	1	3	3
12	1	3	4
13	1	3	5
14	1	3	6
15	1	3	7
16	1	4	3
17	1	4	4
18	1	4	5
19	1	4	6
20	1	4	7
21	1	5	3
22	1	5	4
23	1	5	5
24	1	5	6
25	1	5	7
26	2	1	8
27	2	1	9
28	2	1	10
29	2	1	11
30	2	1	12
31	2	2	7
32	2	2	8
33	2	2	9
34	2	2	10
35	2	2	11
36	2	3	6
37	2	3	7
38	2	3	8
39	2	3	9
40	2	3	10
41	2	4	5
42	2	4	6
43	2	4	7
44	2	4	8
45	2	4	9
46	2	5	4
47	2	5	5
48	2	5	6
49	2	5	7
50	2	5	8
51	3	1	13
52	3	1	14
53	3	1	15
54	3	1	16
55	3	1	17
56	3	2	11
57	3	2	12
58	3	2	13
59	3	2	14
60	3	2	15
61	3	3	9
62	3	3	10
63	3	3	11
64	3	3	12
65	3	3	13
66	3	4	7
67	3	4	8
68	3	4	9
69	3	4	10
70	3	4	11
71	3	5	5
72	3	5	6
73	3	5	7
74	3	5	8
75	3	5	9
76	4	1	18
77	4	1	19
78	4	1	20
79	4	1	21
80	4	1	22
81	4	2	15
82	4	2	16
83	4	2	17
84	4	2	18
85	4	2	19
86	4	3	12
87	4	3	13
88	4	3	14
89	4	3	15
90	4	3	16
91	4	4	9
92	4	4	10
93	4	4	11
94	4	4	12
95	4	4	13
96	4	5	6
97	4	5	7
98	4	5	8
99	4	5	9
100	4	5	10
101	5	1	23
102	5	1	24
103	5	1	25
104	5	1	26
105	5	1	27
106	5	2	19
107	5	2	20
108	5	2	21
109	5	2	22
110	5	2	23
111	5	3	15
112	5	3	16
113	5	3	17
114	5	3	18
115	5	3	19
116	5	4	11
117	5	4	12
118	5	4	13
119	5	4	14
120	5	4	15
121	5	5	7
122	5	5	8
123	5	5	9
124	5	5	10
125	5	5	11
