SubID	Sex	Rel	Att
1	0	0	0
2	0	0	1
3	0	0	2
4	0	0	3
5	0	0	4
6	0	0	5
7	0	0	6
8	0	0	0
9	0	0	1
10	0	0	2
11	0	0	3
12	0	0	4
13	0	0	5
14	0	0	6
15	0	0	3
16	0	0	3
17	0	0	3
18	0	0	3
19	0	0	4
20	0	0	2
21	1	0	2
22	1	0	3
23	1	0	4
24	1	0	5
25	1	0	6
26	1	0	7
27	1	0	8
28	1	0	2
29	1	0	3
30	1	0	4
31	1	0	5
32	1	0	6
33	1	0	7
34	1	0	8
35	1	0	5
36	1	0	5
37	1	0	5
38	1	0	5
39	1	0	6
40	1	0	4
41	0	1	0
42	0	1	1
43	0	1	2
44	0	1	3
45	0	1	4
46	0	1	5
47	0	1	6
48	0	1	0
49	0	1	1
50	0	1	2
51	0	1	3
52	0	1	4
53	0	1	5
54	0	1	6
55	0	1	3
56	0	1	3
57	0	1	3
58	0	1	3
59	0	1	4
60	0	1	2
61	1	1	4
62	1	1	5
63	1	1	6
64	1	1	7
65	1	1	8
66	1	1	9
67	1	1	10
68	1	1	4
69	1	1	5
70	1	1	6
71	1	1	7
72	1	1	8
73	1	1	9
74	1	1	10
75	1	1	7
76	1	1	7
77	1	1	7
78	1	1	7
79	1	1	8
80	1	1	6
