SubID	admit	gre	gpa	rank	rank2
290	0	420	2.1	4	2
41	0	560	2.2	2	1
373	0	680	2.3	1	1
49	0	440	2.05	4	2
157	0	560	2.42	2	1
295	0	480	2.55	1	1
18	0	360	2.56	3	2
177	0	520	2.62	2	1
385	0	480	2.62	2	1
398	0	460	2.63	2	1
342	0	560	2.65	3	2
122	0	480	2.67	2	1
234	0	420	2.67	3	2
40	0	520	2.68	3	2
324	0	420	2.69	2	1
325	0	520	2.7	3	2
380	0	540	2.7	2	1
83	0	500	2.71	2	1
148	0	560	2.71	3	2
164	0	520	2.73	2	1
241	0	440	2.76	2	1
292	0	800	2.78	2	1
366	0	480	2.78	3	2
132	0	640	2.79	2	1
185	0	500	2.79	4	2
172	0	540	2.81	3	2
270	0	500	2.81	3	2
356	0	760	2.81	1	1
23	0	600	2.82	4	2
60	0	600	2.82	4	2
305	0	220	2.83	3	2
316	0	300	2.84	2	1
123	0	520	2.85	3	2
350	0	620	2.85	2	1
156	1	580	2.86	4	2
239	0	500	2.86	4	2
213	0	460	2.87	2	1
99	0	700	2.88	2	1
188	0	580	2.88	2	1
38	0	520	2.9	3	2
81	0	700	2.9	4	2
217	0	340	2.9	1	1
225	0	800	2.9	2	1
84	0	380	2.91	4	2
149	1	480	2.91	1	1
216	1	660	2.91	3	2
72	0	300	2.92	4	2
120	0	340	2.92	3	2
5	0	520	2.93	4	2
94	0	580	2.93	2	1
109	0	400	2.93	3	2
330	0	500	2.93	4	2
367	0	460	2.93	3	2
45	0	700	2.94	2	1
58	0	380	2.94	3	2
191	1	640	2.94	2	1
135	0	560	2.95	2	1
243	1	680	2.96	3	2
333	0	420	2.96	1	1
48	0	500	2.97	4	2
106	1	740	2.97	2	1
7	1	560	2.98	1	1
86	0	520	2.98	2	1
124	0	500	2.98	3	2
219	0	460	2.98	1	1
276	1	600	2.98	2	1
310	0	440	2.98	3	2
6	1	760	3	2	1
113	0	360	3	3	2
279	1	680	3	4	2
317	1	340	3	2	1
180	0	300	3.01	3	2
323	0	500	3.01	4	2
212	0	580	3.02	2	1
223	1	480	3.02	1	1
228	0	540	3.02	4	2
386	0	420	3.02	1	1
346	0	500	3.03	3	2
245	0	540	3.04	1	1
397	0	560	3.04	3	2
36	0	400	3.05	2	1
236	0	620	3.05	2	1
391	1	800	3.05	2	1
344	0	580	3.06	2	1
82	0	620	3.07	2	1
189	0	560	3.07	2	1
197	0	660	3.07	3	2
298	0	460	3.07	2	1
8	0	400	3.08	2	1
14	0	700	3.08	2	1
111	0	680	3.08	4	2
134	0	500	3.08	3	2
338	0	620	3.09	4	2
284	0	520	3.1	4	2
261	0	680	3.11	2	1
79	0	540	3.12	1	1
275	0	520	3.12	2	1
353	1	580	3.12	3	2
379	0	640	3.12	3	2
39	1	500	3.13	2	1
52	0	440	3.13	4	2
108	0	480	3.13	2	1
161	0	600	3.13	2	1
309	0	540	3.13	2	1
35	0	360	3.14	1	1
280	1	660	3.14	2	1
321	0	460	3.14	3	2
363	0	680	3.14	2	1
43	1	600	3.15	2	1
101	0	340	3.15	3	2
130	0	460	3.15	4	2
262	0	440	3.15	2	1
289	0	800	3.15	4	2
303	1	400	3.15	2	1
337	0	520	3.15	3	2
209	0	540	3.16	3	2
297	0	560	3.16	1	1
21	0	500	3.17	3	2
131	1	620	3.17	2	1
248	0	440	3.17	2	1
307	1	540	3.17	1	1
389	0	640	3.17	2	1
61	1	620	3.18	2	1
4	1	640	3.19	4	2
24	0	680	3.19	4	2
57	0	560	3.19	3	2
129	0	540	3.19	2	1
263	1	520	3.19	3	2
202	1	580	3.2	2	1
339	0	540	3.2	1	1
252	0	620	3.21	4	2
12	0	440	3.22	1	1
29	1	780	3.22	2	1
114	0	600	3.22	1	1
244	0	620	3.22	2	1
287	1	800	3.22	1	1
178	1	620	3.23	3	2
198	1	400	3.23	4	2
341	0	500	3.23	4	2
167	0	440	3.24	4	2
267	0	560	3.24	4	2
37	0	580	3.25	1	1
296	0	520	3.25	3	2
54	1	680	3.27	2	1
282	0	360	3.27	3	2
357	0	700	3.27	2	1
89	0	700	3.28	1	1
221	0	540	3.28	3	2
232	0	600	3.28	3	2
320	0	540	3.28	1	1
30	0	520	3.29	1	1
231	0	580	3.29	4	2
68	0	620	3.3	1	1
165	0	580	3.3	2	1
257	1	520	3.3	2	1
301	0	640	3.3	2	1
44	0	500	3.31	3	2
100	0	400	3.31	3	2
150	0	740	3.31	1	1
201	0	800	3.31	3	2
251	0	660	3.31	4	2
286	0	600	3.31	4	2
327	0	680	3.31	2	1
358	0	720	3.31	1	1
42	1	580	3.32	2	1
62	0	560	3.32	4	2
87	0	600	3.32	2	1
274	0	660	3.32	1	1
96	0	660	3.33	2	1
103	0	380	3.33	4	2
137	0	560	3.33	4	2
179	0	620	3.33	3	2
272	0	540	3.33	3	2
55	0	660	3.34	3	2
211	0	740	3.34	4	2
247	0	680	3.34	2	1
266	0	380	3.34	3	2
329	0	580	3.34	2	1
25	1	760	3.35	2	1
32	0	760	3.35	3	2
50	0	400	3.35	3	2
190	0	500	3.35	2	1
256	0	640	3.35	3	2
345	0	520	3.35	3	2
347	0	600	3.35	2	1
77	0	560	3.36	3	2
349	0	400	3.36	2	1
365	1	560	3.36	1	1
388	0	580	3.36	2	1
53	0	740	3.37	4	2
176	1	620	3.37	2	1
374	1	620	3.37	1	1
126	0	540	3.38	4	2
152	0	400	3.38	2	1
214	0	640	3.38	3	2
233	0	380	3.38	2	1
393	1	600	3.38	3	2
9	1	540	3.39	3	2
73	0	480	3.39	4	2
285	1	440	3.39	2	1
33	0	600	3.4	3	2
133	0	580	3.4	2	1
139	0	620	3.4	2	1
144	0	580	3.4	3	2
145	0	580	3.4	4	2
147	0	480	3.4	2	1
300	0	720	3.4	3	2
112	0	420	3.41	4	2
230	1	720	3.42	2	1
146	0	380	3.43	3	2
174	1	800	3.43	2	1
229	0	480	3.43	2	1
334	0	560	3.43	3	2
352	0	620	3.43	3	2
16	0	480	3.44	3	2
95	1	660	3.44	2	1
364	0	460	3.44	2	1
46	1	460	3.45	3	2
75	0	720	3.45	4	2
110	0	480	3.45	2	1
117	1	440	3.45	2	1
240	0	700	3.45	3	2
283	0	660	3.45	4	2
291	1	620	3.45	2	1
47	1	580	3.46	2	1
154	0	580	3.46	3	2
269	1	680	3.46	2	1
306	0	580	3.46	4	2
315	0	540	3.46	4	2
195	1	600	3.47	2	1
224	0	800	3.47	3	2
340	1	660	3.47	3	2
88	0	600	3.48	2	1
173	0	680	3.48	3	2
328	1	560	3.48	2	1
159	0	660	3.49	2	1
237	1	660	3.49	2	1
362	1	540	3.49	1	1
376	0	560	3.49	4	2
382	1	540	3.49	2	1
162	0	640	3.5	2	1
210	0	580	3.5	2	1
226	1	720	3.5	3	2
299	0	540	3.5	2	1
171	0	400	3.51	3	2
259	0	520	3.51	2	1
308	0	580	3.51	2	1
383	0	540	3.51	2	1
390	0	640	3.51	2	1
97	0	640	3.52	4	2
142	1	700	3.52	4	2
255	1	740	3.52	4	2
354	0	700	3.52	2	1
175	0	500	3.53	4	2
235	1	800	3.53	1	1
127	1	600	3.54	1	1
192	0	800	3.54	3	2
207	0	740	3.54	1	1
254	1	540	3.55	4	2
107	1	700	3.56	1	1
163	1	700	3.56	2	1
215	1	600	3.56	2	1
98	0	480	3.57	2	1
102	0	580	3.57	3	2
136	0	500	3.57	3	2
140	1	600	3.58	1	1
158	1	480	3.58	1	1
227	0	620	3.58	2	1
278	1	580	3.58	1	1
322	0	460	3.58	2	1
66	0	600	3.59	2	1
194	0	380	3.59	4	2
196	0	560	3.59	2	1
220	1	560	3.59	2	1
332	0	660	3.59	3	2
85	1	500	3.6	3	2
186	0	800	3.6	2	1
302	1	660	3.6	3	2
1	0	380	3.61	3	2
27	1	620	3.61	1	1
187	0	560	3.61	3	2
67	0	740	3.62	4	2
170	0	600	3.62	3	2
22	1	660	3.63	2	1
199	0	600	3.63	3	2
208	1	640	3.63	1	1
318	1	780	3.63	4	2
368	0	620	3.63	3	2
377	0	620	3.63	2	1
92	1	720	3.64	1	1
218	1	460	3.64	1	1
249	0	680	3.64	3	2
268	1	600	3.64	3	2
335	1	460	3.64	3	2
59	0	400	3.65	2	1
314	1	520	3.65	4	2
381	0	700	3.65	2	1
399	0	700	3.65	2	1
26	1	800	3.66	1	1
2	1	660	3.67	3	2
63	0	640	3.67	3	2
273	1	680	3.67	2	1
312	0	660	3.67	2	1
69	0	580	3.69	1	1
155	1	620	3.69	3	2
359	1	560	3.69	3	2
119	1	800	3.7	1	1
288	1	660	3.7	4	2
293	1	680	3.7	2	1
319	1	480	3.71	4	2
336	1	620	3.71	1	1
118	1	700	3.72	2	1
70	1	800	3.73	1	1
250	0	640	3.73	3	2
28	1	520	3.74	4	2
121	1	520	3.74	2	1
128	1	740	3.74	4	2
151	1	800	3.74	1	1
19	1	800	3.75	2	1
394	1	620	3.75	2	1
193	1	640	3.76	3	2
372	1	680	3.76	3	2
168	1	720	3.77	3	2
200	1	580	3.77	4	2
277	0	460	3.77	3	2
313	1	660	3.77	3	2
371	1	540	3.77	2	1
31	0	540	3.78	4	2
181	1	620	3.78	3	2
355	1	540	3.78	2	1
375	0	560	3.78	2	1
206	1	780	3.8	3	2
348	0	580	3.8	2	1
20	1	540	3.81	1	1
242	1	520	3.81	1	1
260	1	640	3.81	2	1
160	1	700	3.82	3	2
91	1	700	3.83	2	1
115	1	720	3.84	3	2
184	1	540	3.84	2	1
64	1	680	3.85	3	2
51	1	640	3.86	3	2
387	1	740	3.86	2	1
17	1	780	3.87	4	2
125	1	720	3.88	3	2
182	0	500	3.88	4	2
392	1	660	3.88	2	1
205	1	600	3.89	1	1
370	1	800	3.89	2	1
400	1	600	3.89	3	2
93	1	800	3.9	2	1
265	1	520	3.9	3	2
326	1	680	3.9	1	1
246	1	800	3.91	3	2
10	1	700	3.92	2	1
204	0	420	3.92	4	2
141	1	640	3.93	2	1
104	1	540	3.94	3	2
143	1	620	3.94	4	2
153	1	640	3.94	2	1
281	1	660	3.94	2	1
360	1	720	3.94	3	2
105	1	660	3.95	2	1
258	1	620	3.95	3	2
264	1	620	3.95	3	2
271	1	640	3.95	2	1
343	1	500	3.95	4	2
294	1	800	3.97	1	1
304	1	680	3.98	2	1
116	1	620	3.99	3	2
222	1	680	3.99	3	2
395	1	460	3.99	3	2
3	1	800	4	1	1
11	1	800	4	4	2
13	1	760	4	1	1
15	1	700	4	1	1
34	1	800	4	3	2
56	1	740	4	3	2
65	1	580	4	3	2
71	1	640	4	3	2
74	1	580	4	2	1
76	1	720	4	3	2
78	1	800	4	3	2
80	1	620	4	1	1
90	1	660	4	2	1
138	1	700	4	3	2
166	1	700	4	1	1
169	0	500	4	3	2
183	1	700	4	2	1
203	1	700	4	1	1
238	1	480	4	2	1
253	1	520	4	2	1
311	1	560	4	3	2
331	1	740	4	3	2
351	1	780	4	2	1
361	1	520	4	1	1
369	1	580	4	1	1
378	1	800	4	2	1
384	1	660	4	1	1
396	1	620	4	2	1
