SubID	Quarter	Event	Threat	VarType	Utility	iUtility	ChoseProb
322019	1	12	1	50	-10	-2	0
322019	1	11	1	10	2	2	1
322019	1	12	1	50	-5	-1	0
322019	1	11	1	10	-4	-4	0
322019	1	12	1	50	-15	-3	0
322019	1	11	1	10	3	3	1
322019	1	12	1	50	5	1	0
322019	1	12	1	50	0	0	0
322019	1	11	1	10	-1	-1	0
322019	1	12	1	50	15	3	1
322019	1	11	1	10	-2	-2	0
322019	1	11	1	10	0	0	0
322019	1	12	1	50	-20	-4	0
322019	2	1	0	10	4	4	1
322019	2	6	0	50	5	1	0
322019	2	2	0	50	10	2	0
322019	2	2	0	50	-10	-2	0
322019	2	1	0	10	3	3	1
322019	2	1	0	10	0	0	0
322019	2	2	0	50	-5	-1	0
322019	2	1	0	10	2	2	1
322019	2	2	0	50	15	3	1
322019	2	2	0	50	20	4	1
322019	2	2	0	50	-20	-4	0
322019	2	1	0	10	-3	-3	0
322019	2	1	0	10	1	1	1
322019	2	1	0	10	-1	-1	0
322019	2	2	0	50	0	0	0
322019	2	1	0	10	-4	-4	0
322019	2	1	0	10	-2	-2	0
322019	2	2	0	50	-15	-3	0
322019	3	2	0	50	15	3	1
322019	3	6	0	10	-3	-3	0
322019	3	2	0	50	10	2	1
322019	3	1	0	10	0	0	0
322019	3	2	0	50	-10	-2	0
322019	3	1	0	10	-2	-2	0
322019	3	1	0	10	2	2	1
322019	3	2	0	50	-15	-3	0
322019	3	2	0	50	20	4	1
322019	3	6	0	10	4	4	1
322019	3	1	0	10	3	3	1
322019	3	1	0	10	-1	-1	0
322019	3	2	0	50	-20	-4	0
322019	3	2	0	50	5	1	0
322019	3	1	0	10	-4	-4	0
322019	3	1	0	10	1	1	1
322019	3	2	0	50	-5	-1	0
322019	3	2	0	50	0	0	0
322019	4	11	1	10	0	0	0
322019	4	12	1	50	10	2	1
322019	4	12	1	50	-5	-1	0
322019	4	12	1	50	15	3	1
322019	4	11	1	10	2	2	0
322019	4	11	1	10	-3	-3	0
322019	4	11	1	10	-1	-1	0
322019	4	11	1	10	1	1	1
322019	4	12	1	50	0	0	0
322019	4	11	1	10	-2	-2	0
322019	4	12	1	50	-20	-4	0
322019	4	12	1	50	5	1	0
322019	4	11	1	10	4	4	1
322019	4	11	1	10	3	3	1
322019	4	11	1	10	-4	-4	0
322018	1	11	1	10	-3	-3	0
322018	1	12	1	50	-5	-1	0
322018	1	12	1	50	-15	-3	0
322018	1	12	1	50	5	1	0
322018	1	11	1	10	-2	-2	0
322018	1	12	1	50	15	3	1
322018	1	11	1	10	-1	-1	0
322018	1	11	1	10	1	1	1
322018	1	12	1	50	-20	-4	0
322018	1	11	1	10	3	3	1
322018	1	12	1	50	0	0	0
322018	1	12	1	50	20	4	1
322018	1	11	1	10	0	0	0
322018	2	2	0	50	20	4	1
322018	2	1	0	10	1	1	1
322018	2	1	0	10	4	4	1
322018	2	2	0	50	10	2	0
322018	2	6	0	50	-5	-1	0
322018	2	1	0	10	-1	-1	1
322018	2	2	0	50	-15	-3	0
322018	2	6	0	10	0	0	0
322018	2	2	0	50	-10	-2	0
322018	2	6	0	50	-20	-4	0
322018	2	2	0	50	0	0	0
322018	2	1	0	10	2	2	0
322018	2	1	0	10	-3	-3	0
322018	2	2	0	50	5	1	0
322018	2	1	0	10	-4	-4	0
322018	2	2	0	50	15	3	1
322018	2	1	0	10	3	3	1
322018	2	1	0	10	-2	-2	0
322018	3	2	0	50	20	4	1
322018	3	6	0	10	-4	-4	0
322018	3	2	0	50	10	2	0
322018	3	6	0	10	-1	-1	0
322018	3	1	0	10	2	2	1
322018	3	1	0	10	-2	-2	0
322018	3	1	0	10	0	0	1
322018	3	2	0	50	15	3	1
322018	3	2	0	50	-15	-3	0
322018	3	6	0	50	0	0	0
322018	3	1	0	10	4	4	1
322018	3	1	0	10	-3	-3	0
322018	3	1	0	10	3	3	1
322018	3	2	0	50	-5	-1	0
322018	3	2	0	50	-20	-4	0
322018	3	1	0	10	1	1	0
322018	3	6	0	50	5	1	0
322018	3	2	0	50	-10	-2	0
322018	4	12	1	50	-5	-1	0
322018	4	12	1	50	-10	-2	0
322018	4	11	1	10	3	3	1
322018	4	12	1	50	10	2	1
322018	4	12	1	50	20	4	1
322018	4	11	1	10	4	4	1
322018	4	12	1	50	-15	-3	0
322018	4	11	1	10	1	1	0
322018	4	12	1	50	5	1	0
322018	4	11	1	10	-2	-2	0
322018	4	11	1	10	-4	-4	0
322018	4	12	1	50	-20	-4	0
322018	4	11	1	10	2	2	1
322018	4	11	1	10	-1	-1	0
322018	4	12	1	50	0	0	0
322016	1	11	1	10	-3	-3	1
322016	1	11	1	10	-1	-1	0
322016	1	11	1	10	3	3	0
322016	1	12	1	50	5	1	0
322016	1	12	1	50	15	3	0
322016	1	12	1	50	0	0	0
322016	1	11	1	10	2	2	1
322016	1	12	1	50	20	4	1
322016	1	11	1	10	-2	-2	1
322016	1	11	1	10	1	1	1
322016	1	12	1	50	-10	-2	0
322016	1	12	1	50	-20	-4	0
322016	1	11	1	10	0	0	1
322016	1	12	1	50	-5	-1	0
322016	1	12	1	50	10	2	1
322016	2	1	0	10	1	1	0
322016	2	2	0	50	20	4	1
322016	2	1	0	10	-3	-3	0
322016	2	2	0	50	5	1	0
