id,cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,cons13,cons14,cons15,SocialMedia,AnnoyingVariable,Age,Anx1,Anx2,Anx3,Anx4,Anx5,Gender,anes_0,anes_rep,anes_dem,anes_ind
1,2,2,1,1,1,1,1,1,1,1,3,3,1,3,2,2,1,31,2,1,3,2,3,2,2,NA,6,NA
2,5,5,4,5,5,5,5,4,5,4,5,5,5,5,1,1,1,19,1,2,1,4,5,2,1,1,NA,NA
3,2,2,2,2,1,2,2,2,2,2,3,3,2,2,5,1,1,26,2,2,3,2,3,1,2,NA,7,NA
4,4,3,4,3,4,5,3,4,3,4,5,3,4,4,2,2,1,26,4,2,2,4,3,2,2,NA,6,NA
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,2,2,2,3,3,4,2,NA,6,NA
6,3,3,3,2,3,2,3,1,2,2,3,3,1,2,2,2,1,64,1,1,1,5,5,1,1,2,NA,NA
7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,42,1,4,1,5,5,1,2,NA,6,NA
8,1,1,1,1,1,2,1,1,1,3,2,1,1,1,4,1,1,40,2,1,1,4,4,1,3,NA,NA,5
9,2,3,3,4,4,3,3,4,3,3,3,3,3,3,4,2,1,36,3,3,4,2,3,2,3,NA,NA,3
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,48,1,1,3,3,3,1,2,NA,7,NA
11,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,43,1,1,3,4,5,1,1,2,NA,NA
12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,30,1,1,1,5,5,2,2,NA,7,NA
13,2,4,1,3,4,3,4,1,2,3,4,4,1,4,5,2,1,40,2,2,1,4,4,1,2,NA,6,NA
14,3,4,3,3,3,2,4,3,3,3,2,3,3,3,4,1,1,32,2,1,2,3,3,1,3,NA,NA,3
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,27,1,1,1,4,4,1,3,NA,NA,3
16,3,4,2,4,2,2,2,2,2,2,2,2,2,2,3,2,1,29,4,4,5,2,2,1,1,1,NA,NA
17,3,1,1,1,1,2,1,2,1,2,3,1,2,3,5,2,1,28,1,1,1,5,5,1,2,NA,7,NA
18,3,2,2,3,3,2,2,2,3,4,4,3,4,4,4,2,1,40,3,2,4,2,2,1,2,NA,6,NA
19,4,3,4,5,5,5,4,4,3,5,5,4,4,4,5,1,1,38,4,4,5,2,2,1,2,NA,7,NA
20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,32,1,3,4,2,3,1,3,NA,NA,4
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,39,1,1,2,4,2,2,1,1,NA,NA
22,4,2,2,5,5,4,1,4,2,5,5,2,2,2,4,1,1,30,5,3,5,2,1,2,2,NA,6,NA
23,2,4,1,2,4,4,3,4,2,3,3,4,4,3,4,1,1,31,1,1,1,3,2,1,2,NA,6,NA
24,2,1,1,1,1,1,1,1,1,1,2,1,1,2,4,2,1,43,1,1,1,5,5,2,2,NA,7,NA
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,51,2,2,2,4,2,1,2,NA,7,NA
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,1,1,1,5,5,2,2,NA,7,NA
27,2,1,1,1,1,2,1,1,1,1,2,1,2,1,4,1,1,29,1,1,1,4,3,2,2,NA,6,NA
28,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,2,1,57,1,1,2,5,5,1,1,2,NA,NA
29,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,52,2,2,4,4,4,1,2,NA,7,NA
30,1,1,1,1,2,2,2,1,1,2,2,2,1,2,3,1,1,22,2,2,2,3,3,2,1,2,NA,NA
31,1,3,1,3,3,4,2,2,3,3,4,3,1,4,5,2,1,59,1,1,4,1,4,1,3,NA,NA,5
32,4,5,1,1,1,5,5,1,3,3,5,5,1,4,5,1,1,27,5,5,5,2,1,2,3,NA,NA,NA
33,2,2,1,2,1,1,1,1,1,2,2,2,1,1,3,2,1,33,1,1,1,4,5,2,3,NA,NA,5
34,2,2,1,2,3,1,2,2,2,3,2,2,2,1,3,2,1,61,1,2,2,4,5,1,1,1,NA,NA
35,4,2,3,1,1,4,2,3,2,4,4,2,3,3,5,2,1,29,3,3,3,2,2,2,2,NA,6,NA
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,64,1,1,1,4,4,1,NA,NA,NA,NA
37,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,27,2,2,2,4,4,2,2,NA,6,NA
38,2,2,2,1,1,1,2,4,1,5,2,2,1,1,4,2,1,35,4,4,5,2,2,1,3,NA,NA,5
39,2,2,2,1,1,2,1,3,2,2,2,1,1,2,3,1,1,42,4,4,5,2,2,2,2,NA,7,NA
40,2,2,3,2,3,3,2,3,2,3,3,2,3,2,3,2,1,48,1,1,2,4,4,1,1,2,NA,NA
41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,62,5,2,2,4,1,1,2,NA,7,NA
42,1,1,4,2,1,2,2,4,2,2,2,2,2,2,4,1,1,60,1,1,1,4,4,2,1,1,NA,NA
43,3,3,2,4,3,4,2,4,3,4,3,2,3,3,4,2,1,43,2,3,3,2,2,2,3,NA,NA,4
44,4,4,1,3,3,4,4,1,2,4,4,4,3,2,5,1,1,58,1,1,1,4,2,1,3,NA,NA,4
45,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,54,1,1,2,5,5,2,2,NA,7,NA
46,2,4,1,2,2,2,3,1,4,4,2,4,1,2,4,2,1,35,1,1,1,5,5,2,2,NA,6,NA
47,5,5,4,4,2,4,4,4,3,4,4,5,4,4,4,2,1,39,5,5,5,1,1,1,2,NA,6,NA
48,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,51,1,1,2,4,5,1,3,NA,NA,4
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,37,5,2,2,2,1,2,2,NA,6,NA
50,3,3,4,3,3,4,5,5,3,3,5,5,4,3,5,2,1,54,3,1,1,3,3,2,3,NA,NA,4
51,4,4,3,4,4,3,4,4,4,3,4,3,4,4,4,1,1,39,2,1,2,4,4,1,3,NA,NA,4
52,1,1,1,3,3,3,3,3,3,4,3,3,2,4,5,2,1,35,3,3,3,4,4,2,2,NA,6,NA
53,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,26,1,1,1,5,5,1,3,NA,NA,4
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,40,1,1,2,3,1,1,2,NA,7,NA
