sub_id,condition,experience,bac,coordination,score
18,placebo,novice,0,1,63
30,placebo,novice,0,1,69
34,placebo,novice,0,2,73
28,placebo,novice,0,1,77
14,placebo,novice,0,3,80
45,placebo,experienced,0,1,83
50,placebo,novice,0,3,83
2,placebo,novice,0,2,84
17,placebo,experienced,0,3,86
49,placebo,experienced,0,4,86
58,placebo,novice,0,3,86
38,placebo,novice,0,4,87
53,placebo,experienced,0,6,87
26,placebo,novice,0,4,88
47,placebo,experienced,0,6,88
59,placebo,experienced,0,7,90
29,placebo,experienced,0,6,92
57,placebo,experienced,0,5,92
10,placebo,novice,0,6,96
22,placebo,novice,0,7,97
25,placebo,experienced,0,8,97
37,placebo,experienced,0,9,99
13,placebo,experienced,0,8,101
1,placebo,experienced,0,9,106
41,placebo,experienced,0,7,108
9,placebo,experienced,0,10,112
21,placebo,experienced,0,9,116
6,placebo,novice,1,7,60
46,alcohol,experienced,1,9,130
54,placebo,novice,2,4,70
23,alcohol,novice,2,3,105
11,alcohol,novice,2,1,125
52,alcohol,experienced,2,1,140
42,placebo,novice,3,7,50
12,alcohol,experienced,3,1,104
20,alcohol,experienced,3,7,106
56,alcohol,experienced,3,8,118
35,alcohol,novice,4,6,102
32,alcohol,experienced,4,2,118
3,alcohol,novice,5,4,85
16,alcohol,experienced,5,2,96
48,alcohol,experienced,5,4,99
40,alcohol,experienced,6,4,52
5,alcohol,novice,6,3,73
60,alcohol,experienced,6,1,74
4,alcohol,experienced,6,3,83
36,alcohol,experienced,7,3,36
33,alcohol,novice,7,3,37
8,alcohol,experienced,7,2,47
51,alcohol,novice,7,5,53
24,alcohol,experienced,7,3,54
31,alcohol,novice,7,4,65
55,alcohol,novice,7,5,101
39,alcohol,novice,8,9,10
44,alcohol,experienced,8,8,20
15,alcohol,novice,8,3,26
27,alcohol,novice,8,3,34
43,alcohol,novice,8,7,42
7,alcohol,novice,8,1,69
19,alcohol,novice,9,3,25
