SubID	helping	hurry	message	altruism
1	1	0	0	4.4
2	0	1	0	2.8
3	1	0	1	4.9
4	0	1	1	3.2
5	0	0	0	2.7
6	0	1	0	3.7
7	0	0	1	2
8	0	1	1	3.4
9	0	0	0	3.3
10	0	1	0	2.2
11	0	0	1	5.6
12	0	1	1	3.5
13	0	0	0	5.1
14	1	1	0	3.9
15	1	0	1	5.2
16	0	1	1	6.4
17	0	0	0	2.6
18	0	1	0	5.6
19	0	0	1	5.9
20	0	1	1	2.4
21	1	0	0	5.3
22	0	1	0	2.3
23	1	0	1	5.7
24	1	1	1	3.5
25	0	0	0	5.3
26	0	1	0	1
27	1	0	1	6.7
28	0	1	1	2.4
29	1	0	0	3.5
30	0	1	0	5.4
31	0	0	1	6.3
32	0	1	1	1.6
33	0	0	0	3.9
34	0	1	0	6
35	0	0	1	5.5
36	0	1	1	6.2
37	0	0	0	4.6
38	0	1	0	5.2
39	0	0	1	5.1
40	0	1	1	5.4
41	1	0	0	6.1
42	0	1	0	5.2
43	0	0	1	2.2
44	0	1	1	6
45	1	0	0	4.2
46	0	1	0	6
47	1	0	1	4.8
48	1	1	1	4.2
49	1	0	0	4.9
50	0	1	0	1.7
51	0	0	1	5.5
52	0	1	1	3.9
53	0	0	0	4
54	0	1	0	4.2
55	0	0	1	4.3
56	0	1	1	2.9
57	0	0	0	4.8
58	0	1	0	5.1
59	0	0	1	4
60	0	1	1	6.5
61	1	0	0	4.6
62	0	1	0	3.1
63	0	0	1	1.1
64	0	1	1	3.5
65	0	0	0	3.5
66	0	1	0	1.2
67	0	0	1	4.2
68	0	1	1	4.6
69	0	0	0	5.7
70	0	1	0	1.7
71	0	0	1	4.9
72	1	1	1	2.3
73	1	0	0	2.3
74	0	1	0	5.8
75	0	0	1	2.4
76	0	1	1	2.6
77	0	0	0	2.9
78	0	1	0	3.8
79	1	0	1	4.9
80	0	1	1	5.3
81	0	0	0	4.5
82	0	1	0	4.7
83	1	0	1	6
84	0	1	1	2.7
85	0	0	0	5
86	0	1	0	6.6
87	1	0	1	5
88	0	1	1	4.7
89	0	0	0	5.9
90	0	1	0	5.1
91	0	0	1	1
92	0	1	1	1
93	0	0	0	3.9
94	0	1	0	5.2
95	1	0	1	4.1
96	0	1	1	5.1
97	0	0	0	4.7
98	0	1	0	4.4
99	0	0	1	3.9
100	0	1	1	5.9
101	0	0	0	6.8
102	0	1	0	4.6
103	1	0	1	4.3
104	0	1	1	5.7
105	0	0	0	3.9
106	0	1	0	1
107	1	0	1	2.4
108	0	1	1	3.3
109	0	0	0	3.1
110	0	1	0	2.5
111	0	0	1	3.5
112	0	1	1	6.2
113	1	0	0	5.2
114	0	1	0	5.5
115	0	0	1	4.8
116	0	1	1	1.9
117	1	0	0	3.4
118	0	1	0	4.3
119	0	0	1	3.4
120	0	1	1	2.9
121	1	0	0	5
122	0	1	0	3.3
123	0	0	1	1.5
124	0	1	1	5.9
125	0	0	0	6.2
126	0	1	0	5.7
127	0	0	1	4.9
128	0	1	1	2.6
129	0	0	0	3.2
130	0	1	0	6.5
131	1	0	1	3.4
132	0	1	1	4.2
133	0	0	0	3
134	0	1	0	2.7
135	0	0	1	3
136	0	1	1	3.1
137	1	0	0	4
138	0	1	0	2.3
139	0	0	1	3.6
140	0	1	1	5.6
141	1	0	0	4
142	0	1	0	4.2
143	1	0	1	4
144	0	1	1	4.3
145	0	0	0	2.9
146	0	1	0	3.4
147	1	0	1	3.9
148	0	1	1	3.3
149	0	0	0	5.3
150	0	1	0	1.7
151	0	0	1	3.3
152	0	1	1	4.9
153	0	0	0	4.6
154	0	1	0	7
155	0	0	1	4.8
156	0	1	1	4.1
157	0	0	0	5.1
158	0	1	0	4.1
159	0	0	1	5.4
160	0	1	1	3.4
161	0	0	0	1.8
162	0	1	0	4
163	0	0	1	2.9
164	0	1	1	4.2
165	0	0	0	7
166	0	1	0	4.7
167	0	0	1	2.4
168	0	1	1	3.3
169	1	0	0	5.1
170	0	1	0	3.3
171	0	0	1	3.7
172	0	1	1	5.1
173	0	0	0	5.6
174	0	1	0	6.5
175	0	0	1	5.7
176	0	1	1	4.1
177	0	0	0	5.5
178	0	1	0	5.7
179	1	0	1	3.1
180	1	1	1	1.9
181	0	0	0	5.6
182	0	1	0	4.5
183	1	0	1	3
184	0	1	1	4.7
185	0	0	0	3.5
186	0	1	0	1.8
187	0	0	1	4.8
188	0	1	1	5.4
189	0	0	0	3
190	0	1	0	4.9
191	1	0	1	6.8
192	0	1	1	4.6
193	0	0	0	3.3
194	0	1	0	3.3
195	1	0	1	2.8
196	0	1	1	4.6
197	0	0	0	3.1
198	0	1	0	2.7
199	0	0	1	5.1
200	0	1	1	3.5
