"id"	"condition"	"race"	"perf"
"1"	"control"	"white"	"84"
"2"	"intervention"	"black"	"68"
"3"	"control"	"hispanic"	"41"
"4"	"intervention"	"white"	"100"
"5"	"control"	"black"	"28"
"6"	"intervention"	"hispanic"	"73"
"7"	"control"	"white"	"92"
"8"	"intervention"	"black"	"76"
"9"	"control"	"hispanic"	"65"
"10"	"intervention"	"white"	"99"
"11"	"control"	"black"	"53"
"12"	"intervention"	"hispanic"	"75"
"13"	"control"	"white"	"88"
"14"	"intervention"	"black"	"74"
"15"	"control"	"hispanic"	"39"
"16"	"intervention"	"white"	"99"
"17"	"control"	"black"	"65"
"18"	"intervention"	"hispanic"	"72"
"19"	"control"	"white"	"69"
"20"	"intervention"	"black"	"84"
"21"	"control"	"hispanic"	"29"
"22"	"intervention"	"white"	"87"
"23"	"control"	"black"	"54"
"24"	"intervention"	"hispanic"	"84"
"25"	"control"	"white"	"82"
"26"	"intervention"	"black"	"66"
"27"	"control"	"hispanic"	"66"
"28"	"intervention"	"white"	"95"
"29"	"control"	"black"	"31"
"30"	"intervention"	"hispanic"	"87"
"31"	"control"	"white"	"77"
"32"	"intervention"	"black"	"71"
"33"	"control"	"hispanic"	"52"
"34"	"intervention"	"white"	"67"
"35"	"control"	"black"	"81"
"36"	"intervention"	"hispanic"	"100"
"37"	"control"	"white"	"61"
"38"	"intervention"	"black"	"66"
"39"	"control"	"hispanic"	"47"
"40"	"intervention"	"white"	"68"
"41"	"control"	"black"	"36"
"42"	"intervention"	"hispanic"	"71"
"43"	"control"	"white"	"66"
"44"	"intervention"	"black"	"88"
"45"	"control"	"hispanic"	"46"
"46"	"intervention"	"white"	"65"
"47"	"control"	"black"	"34"
"48"	"intervention"	"hispanic"	"91"
"49"	"control"	"white"	"72"
"50"	"intervention"	"black"	"71"
"51"	"control"	"hispanic"	"55"
"52"	"intervention"	"white"	"84"
"53"	"control"	"black"	"50"
"54"	"intervention"	"hispanic"	"97"
"55"	"control"	"white"	"59"
"56"	"intervention"	"black"	"63"
"57"	"control"	"hispanic"	"49"
"58"	"intervention"	"white"	"70"
"59"	"control"	"black"	"70"
"60"	"intervention"	"hispanic"	"76"
"61"	"control"	"white"	"87"
"62"	"intervention"	"black"	"95"
"63"	"control"	"hispanic"	"68"
"64"	"intervention"	"white"	"87"
"65"	"control"	"black"	"57"
"66"	"intervention"	"hispanic"	"89"
"67"	"control"	"white"	"85"
"68"	"intervention"	"black"	"75"
"69"	"control"	"hispanic"	"70"
"70"	"intervention"	"white"	"95"
"71"	"control"	"black"	"47"
"72"	"intervention"	"hispanic"	"78"
"73"	"control"	"white"	"79"
"74"	"intervention"	"black"	"100"
"75"	"control"	"hispanic"	"53"
"76"	"intervention"	"white"	"90"
"77"	"control"	"black"	"65"
"78"	"intervention"	"hispanic"	"73"
"79"	"control"	"white"	"77"
"80"	"intervention"	"black"	"82"
"81"	"control"	"hispanic"	"52"
"82"	"intervention"	"white"	"52"
"83"	"control"	"black"	"55"
"84"	"intervention"	"hispanic"	"89"
"85"	"control"	"white"	"67"
"86"	"intervention"	"black"	"68"
"87"	"control"	"hispanic"	"83"
"88"	"intervention"	"white"	"80"
"89"	"control"	"black"	"71"
"90"	"intervention"	"hispanic"	"100"
"91"	"control"	"white"	"74"
"92"	"intervention"	"black"	"84"
"93"	"control"	"hispanic"	"23"
"94"	"intervention"	"white"	"79"
"95"	"control"	"black"	"37"
"96"	"intervention"	"hispanic"	"51"
"97"	"control"	"white"	"100"
"98"	"intervention"	"black"	"77"
"99"	"control"	"hispanic"	"67"
"100"	"intervention"	"white"	"100"
"101"	"control"	"black"	"68"
"102"	"intervention"	"hispanic"	"79"
"103"	"control"	"white"	"97"
"104"	"intervention"	"black"	"63"
"105"	"control"	"hispanic"	"71"
"106"	"intervention"	"white"	"88"
"107"	"control"	"black"	"64"
"108"	"intervention"	"hispanic"	"82"
"109"	"control"	"white"	"90"
"110"	"intervention"	"black"	"69"
"111"	"control"	"hispanic"	"34"
"112"	"intervention"	"white"	"89"
"113"	"control"	"black"	"64"
"114"	"intervention"	"hispanic"	"86"
"115"	"control"	"white"	"98"
"116"	"intervention"	"black"	"60"
"117"	"control"	"hispanic"	"59"
"118"	"intervention"	"white"	"81"
"119"	"control"	"black"	"45"
"120"	"intervention"	"hispanic"	"80"
