Country,Overall Math Score,Math Knowing,Math Applying,Math Reasoning,Students Conf Math,Students Like Math,School Resources,Home Resources,Global Region,GNI Per Capita,Percent Girls
Albania,494,492,498,490,11,11.8,8.7,8.6,Europe,5230,49
Armenia,498,497,501,483,10.6,11.4,10.7,9.5,Asia,4880,48
Australia,516,509,516,522,9.9,9.7,11.3,,Oceania,54900,49
Austria,539,540,538,537,10.3,9.8,10.2,10.6,Europe,51020,49
Azerbaijan,515,513,519,506,10.7,10.9,8.5,9.1,Asia,4510,47
Bahrain,480,478,479,479,10.5,10.6,9,9.9,Asia,24420,49
Belgium,532,546,526,530,9.9,9.4,11,10.7,Europe,48110,51
Bosnia and Herzegovina,452,444,452,461,10.5,10.1,9.5,9.3,Europe,6160,49
Bulgaria,515,511,518,509,10.5,10.4,11.4,9.6,Europe,9510,48
Canada,512,506,513,513,10,9.7,11.1,11.3,North America,46600,49
Chile,441,427,446,448,9.5,10,10.4,9.3,South America,14830,50
Chinese Taipei (Taiwan),599,622,600,576,9,8.9,10.4,10.4,Asia,,48
Croatia,509,508,509,510,10,9.1,10.1,9.9,Europe,15380,50
Cyprus,532,530,536,526,10.8,10.5,10.7,10.9,Asia,19700,52
Czech Republic,533,528,531,541,9.5,9.4,10.8,10.8,Europe,22120,49
Denmark,525,524,520,535,9.8,9.2,10.8,11.3,Europe,63140,50
England,556,563,553,554,9.9,9.9,10.6,,Europe,43380,50
Finland,532,531,531,535,10.1,9.2,10.8,11.2,Europe,49940,49
France,485,488,482,480,10,10.2,9.8,10.8,Europe,42460,49
Georgia,482,473,490,469,10.4,11.4,10.7,10.3,Asia,4690,49
Germany,521,523,514,531,10,9.5,10.1,10.8,Europe,49220,50
Hong Kong SAR,602,600,606,596,9.2,9.3,9.8,10.5,Asia,50480,46
Hungary,523,525,521,522,10.2,9.7,10,10.6,Europe,16570,48
"Iran, Islamic Rep. of",443,436,450,426,10.2,10.8,8.6,8.7,Asia,4000,49
Ireland,548,550,551,542,10,9.5,10.2,11.1,Europe,63570,50
Italy,515,515,517,504,10.2,10,9.9,9.8,Europe,34930,50
Japan,593,597,593,589,9.2,9.4,10.4,10.3,Asia,41970,48
Kazakhstan,512,510,514,507,10.6,11.1,11.2,9.8,Asia,8820,49
"Korea, Rep. of",600,612,594,596,9.2,8.9,12.3,11.9,Asia,33830,47
Kosovo,444,445,445,441,11,11.4,7.5,9.1,Europe,4640,49
Kuwait,383,,,,10,10.2,8.7,9.8,Asia,34490,47
Latvia,546,537,547,554,9.5,9.5,10.8,10.6,Europe,17830,50
Lithuania,542,535,547,534,9.9,10.1,10.4,10.4,Europe,19080,49
Malta,509,510,508,508,10,10.1,10.3,10.8,Europe,29370,49
Montenegro,453,445,454,463,11.1,10.9,9.3,10,Europe,9140,47
Morocco,383,379,387,380,10.4,11.3,9.5,6.9,Africa,3500,49
Netherlands,538,534,536,546,10.3,9.3,10.7,,Europe,51930,49
New Zealand,487,476,487,501,9.4,9.8,11,11.4,Oceania,43110,48
North Macedonia,472,470,477,470,10.9,11,8.7,9.3,Europe,5890,48
Northern Ireland,566,574,565,558,9.8,9.4,9.9,11.1,Europe,63570,50
Norway,543,541,540,551,10.3,9.4,11.3,11.5,Europe,82430,48
Oman,431,424,434,424,10.3,10.8,8.9,9.4,Asia,17810,50
Pakistan,328,327,306,354,9.7,9.9,9.1,8,Asia,1570,45
Philippines,297,302,286,272,9,9.8,8.7,8.1,Asia,3770,48
Poland,520,509,521,527,9.5,9.2,11.2,10.6,Europe,15330,49
Portugal,525,523,528,519,9.5,10.3,9.9,10.2,Europe,23200,48
Qatar,449,447,453,440,9.9,10,9.7,10.2,Asia,61790,50
Russian Federation,567,555,571,573,9.6,10,10.3,10.3,Europe,11280,51
Saudi Arabia,398,,,,10.6,10.8,8.6,9.4,Asia,23180,48
Serbia,508,504,509,503,10.1,9.6,9.9,10,Europe,7040,50
Singapore,625,640,626,614,9.3,9.7,11.5,11,Asia,58910,49
Slovak Republic,510,502,508,522,9.9,9.7,9.4,10.2,Europe,19200,49
South Africa,374,372,375,370,9.4,10.3,9.1,8.5,Africa,6730,50
Spain,502,499,506,497,9.7,9.7,10.8,10.4,Europe,30360,47
Sweden,521,515,518,536,10.2,9.5,10.8,11.2,Europe,56470,50
Turkey,523,514,531,509,10.1,10.9,8.1,8.7,Asia,9690,52
United Arab Emirates,481,479,484,474,10.2,10.5,10.2,10.4,Asia,46210,50
United States,535,536,537,524,10,9.7,11.4,,North America,66130,49
