AID,SCID,AH_PVT,Sup_Parent,Parent_Div,Agr_1,Agr_2,Agr_3,Agr_4,Ima_1,Ima_2,Ima_3,Ima_4
92578538,168,89,2,Married,4,2,4,4,2,4,4,4
92718196,371,75,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
92576902,144,81,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
92506894,121,102,2,Divorced,4,4,2,2,5,1,1,1
93576791,024,88,1,Married,5,5,2,2,5,2,2,2
96578071,077,117,1,Married,4,4,2,2,3,2,2,2
92570652,142,95,NA,Divorced,4,4,2,2,2,3,3,3
99578446,118,77,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
90576191,033,103,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
90579374,153,101,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
91503935,060,95,2,Divorced,4,4,2,3,3,2,4,2
91574504,058,83,1,Married,5,5,2,1,4,2,4,2
94506982,084,114,1,Married,5,4,2,1,5,1,1,1
99506291,029,71,1,Married,3,4,2,3,5,3,3,2
91570789,065,94,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
93573223,041,120,2,Divorced,4,4,3,3,5,1,1,1
90619361,270,84,1,Divorced,4,3,1,2,4,5,4,1
99506096,074,98,2,Married,4,4,2,4,4,2,3,1
91716099,019,112,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
95578983,058,NA,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
95710481,008,97,1,Married,5,4,2,1,2,2,3,2
94570228,047,NA,1,Married,5,4,2,4,3,2,2,2
90714182,009,123,1,Married,5,4,2,2,2,3,4,3
91714099,157,110,1,NA,4,4,2,4,2,3,2,4
97575922,118,113,2,Married,5,2,2,2,3,1,5,2
96576200,035,110,1,Divorced,4,4,2,2,4,2,2,2
94716210,077,80,2,Divorced,4,3,2,4,3,2,3,2
96715951,019,NA,2,Divorced,4,4,3,4,3,3,3,2
96572006,056,101,1,Divorced,5,5,1,5,4,1,1,1
96718348,014,97,NA,Divorced,5,5,1,1,5,5,3,1
93506590,017,111,1,Married,4,4,1,2,4,3,2,2
93500054,072,90,2,Married,5,5,2,2,5,2,2,1
57104553,006,97,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
93507981,044,111,2,Divorced,4,4,2,2,5,2,1,1
98506799,158,102,2,Divorced,2,3,2,2,3,2,2,2
96570982,091,85,2,Married,5,4,2,2,2,2,2,2
93573949,119,93,1,Married,4,3,3,3,3,2,3,2
93575945,106,98,2,Married,5,5,3,3,3,2,3,3
99577554,127,85,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
94714245,176,101,2,Divorced,4,4,2,2,3,2,2,2
96712973,074,96,1,Married,4,3,4,4,4,4,4,3
96576999,150,99,1,Married,4,5,3,3,5,2,3,2
91718001,072,102,1,Married,4,4,2,2,2,2,2,4
98577327,058,111,2,Divorced,4,3,2,3,4,2,2,1
99576833,022,107,2,Married,4,2,2,2,2,3,2,4
90508320,058,86,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
91711167,015,108,1,Divorced,4,4,2,2,4,2,2,2
96571603,152,97,1,Married,5,3,3,2,4,3,3,2
95578349,008,103,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
95577058,193,111,2,Divorced,5,4,1,2,5,2,2,1
92572914,060,97,1,Divorced,4,3,3,3,5,2,2,1
95712910,033,120,1,Married,4,3,2,3,4,3,3,2
98578142,085,99,NA,Divorced,4,3,2,2,3,3,3,2
94718114,077,112,2,Married,3,5,3,3,3,2,5,3
97570726,053,109,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
91572001,077,118,1,Married,5,4,1,2,3,1,5,2
95578109,056,123,NA,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
93577222,056,88,1,Divorced,5,4,2,2,2,2,2,2
94574694,203,95,2,Married,5,4,2,1,4,4,4,2
91571228,052,110,2,Divorced,4,3,2,2,3,3,3,3
92570084,269,88,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
91716882,077,83,1,Divorced,4,4,2,2,3,2,2,2
95710679,055,99,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
96573946,008,124,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
95504290,078,119,1,Married,5,4,2,2,4,2,2,1
92577917,046,110,2,Married,5,4,2,3,3,2,3,2
91577223,058,86,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
57134967,054,124,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
98570618,154,103,1,Married,3,3,3,2,4,4,2,2
94579990,999,106,1,Divorced,4,4,2,4,4,3,3,1
98574990,058,93,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
91884988,066,101,1,Married,4,4,1,2,3,3,3,3
96572178,187,89,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
96578046,058,112,2,Divorced,4,3,2,2,4,2,3,2
92606322,020,106,2,Married,5,3,2,3,4,2,2,2
93504502,040,107,1,Married,4,3,2,2,2,3,3,3
93714190,173,101,1,Divorced,3,3,2,4,1,3,3,5
94579944,041,105,NA,Divorced,4,4,2,2,4,3,3,2
97506321,053,102,1,Married,5,5,2,1,5,2,3,1
91588902,058,96,1,Married,4,3,3,3,4,3,3,2
91506493,077,87,1,Divorced,4,4,2,2,3,2,4,2
92574200,025,88,2,Married,3,5,1,1,4,5,4,1
94614473,158,127,1,Married,5,4,2,2,4,2,2,1
90315394,078,85,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
93572870,013,106,1,Married,4,3,2,3,5,2,2,1
96571411,271,112,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
95713335,025,92,1,Married,5,5,1,2,5,2,2,1
92576632,077,87,2,Divorced,4,5,3,2,3,2,2,2
99576680,021,91,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
94676624,087,97,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
97578304,053,91,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
