id,celebrate_wear_costume,celebrate_decorate_house
1,response:1,response:2
2,response:2,response:1
3,response:-1,response:-1
4,response:-2,response:-2
5,response:0,response:0
6,response:0,response:0
7,response:1,response:1
8,response:1,response:1
9,response:0,response:0
10,response:1,response:1
11,response:0,response:0
12,response:-1,response:-1
13,response:0,response:0
14,response:0,response:0
15,response:-1,response:-1
16,response:0,response:0
17,response:1,response:1
18,response:-1,response:0
19,response:0,response:0
20,response:0,response:0
21,response:-1,response:-1
22,response:0,response:0
23,response:-2,response:-2
24,response:0,response:-1
25,response:-1,response:-1
26,response:0,response:0
27,response:0,response:0
28,response:-2,response:-2
29,response:0,response:0
30,response:0,response:1
31,response:-1,response:0
32,response:0,response:0
33,response:0,response:0
34,response:1,response:1
35,response:0,response:0
36,response:-1,response:0
37,response:1,response:1
38,response:-1,response:-1
39,response:0,response:0
40,response:0,response:0
41,response:1,response:1
42,response:-1,response:0
43,response:-1,response:0
44,response:0,response:0
45,response:1,response:1
46,response:0,response:0
47,response:-1,response:-1
48,response:0,response:0
49,response:0,response:0
50,response:-1,response:-2
51,response:1,response:1
52,response:0,response:0
53,response:1,response:1
54,response:0,response:-1
55,response:-1,response:-1
56,response:-1,response:-1
57,response:0,response:0
58,response:-1,response:-1
59,response:0,response:1
60,response:0,response:0
61,response:-1,response:0
62,response:1,response:1
63,response:1,response:1
64,response:0,response:0
65,response:1,response:1
66,response:0,response:0
67,response:1,response:1
68,response:-1,response:-1
69,response:2,response:1
70,response:0,response:0
71,response:-1,response:0
72,response:-1,response:-1
73,response:2,response:2
74,response:-1,response:0
75,response:-1,response:-1
76,response:-1,response:-2
77,response:1,response:1
78,response:0,response:0
79,response:0,response:0
