Section,FakeAge,StatsBefore,StatsCourse,StatsExp,StatsConf,ProgExp,Rbefore,RExp,RConf,PineapplePizza
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",21,Yes,2,3,4,2,Yes,2,4,No
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",32,Yes,3,4,4,4,Yes,4,4,Yes
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",23,No,0,1,2,2,Yes,2,5,No
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",12,Yes,1,3,5,3,Yes,4,5,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",44,Yes,3,4,5,3,Yes,3,5,Yes
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",24,Yes,2,3,4,3,Yes,2,4,No
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",30,Yes,1,3,4,2,Yes,2,4,Yes
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",17,Yes,1,2,2,1,No,1,2,No
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",25,Yes,1,2,3,4,Yes,2,4,Yes
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",33,Yes,4,4,5,4,Yes,4,5,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",23,Yes,2,3,3,1,Yes,3,4,Yes
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",23,Yes,1,2,3,2,No,1,3,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",23,Yes,1,2,4,2,Yes,2,3,No
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",23,Yes,3,2,2,1,No,1,2,No
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",25,Yes,1,2,4,2,Yes,2,4,No
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",21,Yes,1,2,4,3,Yes,2,4,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",7,Yes,2,2,4,1,No,1,4,No
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",34,Yes,4,3,5,2,Yes,3,5,Yes
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",26,Yes,2,3,4,2,Yes,3,5,No
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",28,Yes,1,2,3,1,No,1,3,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",22,Yes,3,3,5,2,Yes,2,5,Yes
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",24,Yes,1,2,4,4,Yes,3,5,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",23,Yes,1,2,5,2,Yes,2,5,No
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",24,Yes,2,2,3,2,Yes,2,3,Yes
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",21,Yes,4,4,5,3,Yes,3,4,Yes
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",22,Yes,2,3,5,3,Yes,2,4,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",25,Yes,3,4,4,3,Yes,3,4,No
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",29,Yes,1,2,4,2,Yes,1,4,Yes
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",37,Yes,1,2,4,2,Yes,2,4,No
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",32,Yes,3,4,5,4,Yes,4,5,Yes
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",26,Yes,2,2,2,2,Yes,2,4,No
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",27,Yes,2,3,3,3,Yes,3,3,No
