id,costume,decorate,plan_buy_costume,shop_early
1,1,2,0,2
2,2,1,0,1
3,-1,-1,0,2
4,-2,-2,0,-1
5,0,0,-1,0
6,0,0,-2,-1
7,1,1,1,1
8,1,1,2,1
9,0,0,2,1
10,1,1,1,2
11,0,0,-1,1
12,-1,-1,-2,-1
13,0,0,0,1
14,0,0,0,0
15,-1,-1,-1,-1
16,0,0,2,0
17,1,1,-2,-2
18,-1,0,-2,-1
19,0,0,0,-2
20,0,0,-1,0
21,-1,-1,0,-1
22,0,0,-1,1
23,-2,-2,0,0
24,0,-1,0,-1
25,-1,-1,0,1
26,0,0,2,0
27,0,0,-1,-1
28,-2,-2,-2,-1
29,0,0,1,0
30,0,1,-1,0
31,-1,0,0,-1
32,0,0,-2,0
33,0,0,1,1
34,1,1,-1,-1
35,0,0,0,0
36,-1,0,0,1
37,1,1,0,1
38,-1,-1,1,2
39,0,0,-1,1
40,0,0,0,1
41,1,1,-1,0
42,-1,0,-1,-1
43,-1,0,0,1
44,0,0,1,1
45,1,1,0,0
46,0,0,1,1
47,-1,-1,-1,0
48,0,0,2,1
49,0,0,-2,-1
50,-1,-2,0,0
51,1,1,-1,1
52,0,0,2,1
53,1,1,1,1
54,0,-1,0,1
55,-1,-1,-2,-2
56,-1,-1,0,1
57,0,0,-1,0
58,-1,-1,0,0
59,0,1,-1,0
60,0,0,-1,0
61,-1,0,-2,-1
62,1,1,-1,1
63,1,1,2,1
64,0,0,1,-1
65,1,1,2,1
66,0,0,-1,-1
67,1,1,2,1
68,-1,-1,1,-2
69,2,1,0,-1
70,0,0,0,0
71,-1,0,-1,-1
72,-1,-1,-2,0
73,2,2,1,2
74,-1,0,0,0
75,-1,-1,1,0
76,-1,-2,-2,0
77,1,1,-2,0
78,0,0,1,0
79,0,0,-2,0
