id,plan_to_buy_costume
1,response:0
2,response:0
3,response:0
4,response:0
5,response:-1
6,response:-2
7,response:1
8,response:2
9,response:2
10,response:1
11,response:-1
12,response:-2
13,response:0
14,response:0
15,response:-1
16,response:2
17,response:-2
18,response:-2
19,response:0
20,response:-1
21,response:0
22,response:-1
23,response:0
24,response:0
25,response:0
26,response:2
27,response:-1
28,response:-2
29,response:1
30,response:-1
31,response:0
32,response:-2
33,response:1
34,response:-1
35,response:0
36,response:0
37,response:0
38,response:1
39,response:-1
40,response:0
41,response:-1
42,response:-1
43,response:0
44,response:1
45,response:0
46,response:1
47,response:-1
48,response:2
49,response:-2
50,response:0
51,response:-1
52,response:2
53,response:1
54,response:0
55,response:-2
56,response:0
57,response:-1
58,response:0
59,response:-1
60,response:-1
61,response:-2
62,response:-1
63,response:2
64,response:1
65,response:2
66,response:-1
67,response:2
68,response:1
69,response:0
70,response:0
71,response:-1
72,response:-2
73,response:1
74,response:0
75,response:1
76,response:-2
77,response:-2
78,response:1
79,response:-2
