education,income,type
13.11,12351,Professional
12.26,25879,Professional
12.77,9271,Professional
11.42,8865,Professional
14.62,8403,Professional
15.64,11030,Professional
15.09,8258,Professional
15.44,14163,Professional
14.52,11377,Professional
14.64,11023,Professional
12.39,5902,Professional
12.3,7059,Professional
13.83,8425,Professional
14.44,8049,Professional
14.36,7405,Professional
14.21,6336,Professional
15.77,19263,Professional
14.15,6112,Professional
15.22,9593,Professional
14.5,4686,Professional
15.97,12480,Professional
13.62,5648,Professional
15.08,8034,Professional
15.96,25308,Professional
15.94,14558,Professional
14.71,17498,Professional
12.46,4614,Professional
9.45,3485,Blue Collar
13.62,5092,Professional
15.21,10432,Professional
12.79,5180,White Collar
11.09,6197,Professional
12.71,7562,White Collar
11.59,4036,White Collar
11.49,3148,White Collar
11.32,4348,White Collar
10.64,2448,White Collar
11.36,4330,White Collar
9.17,4761,White Collar
12.09,3016,White Collar
11.04,2901,White Collar
9.22,5511,White Collar
10.07,3739,White Collar
10.51,3161,White Collar
11.2,4741,White Collar
11.13,5052,White Collar
11.43,6259,White Collar
11,4075,White Collar
9.84,7482,White Collar
11.13,8780,White Collar
10.05,2594,White Collar
9.93,2370,Blue Collar
11.6,8131,White Collar
11.09,6992,White Collar
11.03,7956,White Collar
9.47,8895,Blue Collar
10.93,8891,Blue Collar
7.74,3116,Blue Collar
8.5,3930,Blue Collar
10.57,7869,Blue Collar
7.33,3000,Blue Collar
7.11,3472,Blue Collar
7.58,3582,Blue Collar
8.6,1656,Blue Collar
8.88,6860,Blue Collar
7.54,4199,Blue Collar
7.64,5134,Blue Collar
7.64,5134,Blue Collar
7.42,1890,Blue Collar
6.69,4443,Blue Collar
6.74,3485,Blue Collar
10.09,8043,Blue Collar
8.81,6686,Blue Collar
8.4,6565,Blue Collar
7.92,6477,Blue Collar
8.43,5811,Blue Collar
8.78,6573,Blue Collar
8.76,3942,Blue Collar
10.29,5449,Blue Collar
6.38,2847,Blue Collar
8.1,5795,Blue Collar
10.1,7716,Blue Collar
6.67,4696,Blue Collar
9.05,8316,Blue Collar
9.93,7147,Blue Collar
8.24,8880,Blue Collar
6.92,5299,Blue Collar
6.6,5959,Blue Collar
7.81,4549,Blue Collar
8.33,6928,Blue Collar
7.52,3910,Blue Collar
12.27,14032,Professional
8.49,8845,Blue Collar
7.58,5562,Blue Collar
7.93,4224,Blue Collar
8.37,4753,Blue Collar
10,6462,Blue Collar
8.55,3617,Blue Collar
