sub_id	concern_1	concern_2	concern_3	concern_4	pol	gender_c	condition_c
001	7	6	6	6	1.5	-0.5	-0.5
002	5	1	1	4	2	-0.5	-0.5
003	6	4	5	6	3	-0.5	-0.5
004	7	7	6	7	1.5	-0.5	-0.5
005	5	6	5	6	2.5	0.5	-0.5
006	3	4	4	5	1.5	-0.5	-0.5
007	7	7	7	7	1	NA	-0.5
008	5	2	4	5	3.5	-0.5	-0.5
009	1	7	6	7	1	-0.5	-0.5
010	7	7	7	7	1	NA	-0.5
011	4	7	7	7	1	-0.5	-0.5
012	6	6	5	5	2.5	-0.5	-0.5
013	5	3	4	4	2.5	-0.5	-0.5
014	7	5	5	7	3	0.5	-0.5
015	5	4	3	4	4	0.5	-0.5
016	1	4	4	5	1.5	-0.5	-0.5
017	3	4	3	3	4	-0.5	-0.5
018	4	4	4	5	3	0.5	-0.5
019	5	4	6	2	3.5	-0.5	-0.5
020	4	3	2	2	4.5	-0.5	-0.5
021	5	4	4	5	3.5	-0.5	-0.5
022	5	4	4	6	3.5	-0.5	-0.5
023	4	5	4	6	3	-0.5	-0.5
024	2	6	6	7	2	-0.5	-0.5
025	6	6	4	7	2	NA	-0.5
026	7	7	7	7	1.5	0.5	-0.5
027	6	6	6	7	1.5	-0.5	-0.5
028	5	7	6	6	2.5	0.5	-0.5
029	5	6	6	7	4	0.5	-0.5
030	3	2	1	5	4	-0.5	-0.5
031	7	7	7	1	3	-0.5	-0.5
032	5	3	3	5	3	-0.5	-0.5
033	6	5	4	7	3.5	-0.5	-0.5
034	5	5	5	6	2.5	-0.5	-0.5
035	5	2	3	5	3	NA	-0.5
036	5	1	3	4	3	-0.5	-0.5
037	7	7	7	7	2	0.5	-0.5
038	5	5	4	6	3	0.5	-0.5
039	5	5	5	5	3	0.5	-0.5
040	6	7	2	6	1.5	-0.5	-0.5
041	1	4	5	7	4.5	-0.5	-0.5
042	4	7	5	7	2	0.5	-0.5
043	6	5	4	5	2.5	-0.5	-0.5
044	1	1	1	1	1.5	-0.5	-0.5
045	5	6	6	5	1.5	0.5	-0.5
046	6	5	5	5	4	-0.5	-0.5
047	7	7	1	7	3	0.5	-0.5
048	3	3	3	4	4.5	-0.5	-0.5
049	5	6	6	7	2.5	0.5	-0.5
050	7	7	7	7	1	0.5	-0.5
051	6	6	6	6	2.5	-0.5	-0.5
052	6	6	6	7	1	0.5	-0.5
053	6	4	6	5	3.5	0.5	-0.5
054	7	7	7	7	2	0.5	-0.5
055	4	7	7	6	2	0.5	-0.5
056	7	7	7	7	3	-0.5	-0.5
057	7	6	6	6	3	0.5	-0.5
058	1	4	2	6	3	-0.5	-0.5
059	3	3	3	5	3	0.5	-0.5
060	NA	5	4	6	1	-0.5	-0.5
061	7	7	6	7	2	-0.5	-0.5
062	6	4	4	3	3.5	-0.5	-0.5
063	1	6	6	6	3	0.5	-0.5
064	6	5	6	6	3	0.5	-0.5
065	6	7	7	6	3	-0.5	-0.5
066	5	5	3	6	2.5	-0.5	-0.5
067	5	7	4	7	3	0.5	-0.5
068	2	6	5	7	3	0.5	-0.5
069	2	2	3	6	3	-0.5	-0.5
070	6	5	5	6	3	-0.5	-0.5
071	7	7	7	7	1	-0.5	-0.5
072	6	7	7	7	2.5	-0.5	-0.5
073	5	5	5	6	3	-0.5	-0.5
074	5	5	4	6	3	-0.5	-0.5
075	4	2	2	3	3.5	-0.5	-0.5
076	7	7	7	7	1.5	-0.5	-0.5
077	7	7	7	7	2	-0.5	-0.5
078	5	5	5	6	2.5	-0.5	-0.5
079	6	2	2	3	3.5	-0.5	-0.5
080	7	6	6	6	1.5	0.5	-0.5
081	6	3	6	7	2.5	-0.5	-0.5
082	6	6	6	7	1	-0.5	-0.5
083	4	7	6	5	3	0.5	-0.5
084	7	7	7	7	2.5	-0.5	-0.5
085	6	6	5	5	4.5	-0.5	-0.5
086	3	6	6	6	2	-0.5	-0.5
087	3	5	4	7	4	-0.5	-0.5
088	6	7	7	6	1.5	-0.5	-0.5
089	2	2	2	7	3	0.5	-0.5
090	4	2	2	4	4	-0.5	-0.5
091	4	3	2	4	4	-0.5	-0.5
092	7	7	7	7	1	-0.5	-0.5
093	NA	3	3	5	3	-0.5	-0.5
094	7	7	7	7	2.5	-0.5	-0.5
095	6	6	6	6	3	-0.5	-0.5
096	7	6	5	2	1.5	0.5	-0.5
097	6	6	6	7	3	-0.5	-0.5
098	5	6	7	6	4	-0.5	-0.5
099	5	4	3	5	2.5	NA	-0.5
100	7	1	4	6	1	-0.5	-0.5
101	2	6	6	6	2	0.5	-0.5
102	6	6	6	7	1.5	-0.5	-0.5
103	5	6	5	5	1.5	-0.5	-0.5
104	7	7	6	2	1.5	-0.5	-0.5
105	4	2	1	4	2	-0.5	-0.5
106	7	3	3	7	2	0.5	-0.5
107	4	7	4	7	3	-0.5	-0.5
108	5	7	7	7	2	-0.5	-0.5
109	5	3	1	3	3	-0.5	-0.5
110	2	3	2	5	1	-0.5	-0.5
111	5	5	5	7	2.5	-0.5	-0.5
