sub_id	age	condition	learning	prosociality
01	54	0	0.4	3
02	44	1	0.4	4
03	49	0	0.4	4
04	51	1	0.4	3
05	51	0	0	4
06	49	1	0.6	4
07	52	0	0.6	3
08	49	1	0.4	5
09	51	0	0.2	4
10	57	1	0.4	4
11	54	0	0.4	4
12	41	1	0.4	3
13	54	0	0.6	4
14	56	1	0.8	7
15	52	0	0.4	3
16	48	1	0.6	4
17	56	0	0.6	5
18	52	1	0.4	5
19	46	0	0.2	4
20	47	1	0.4	3
21	48	0	0.2	3
22	55	1	0.6	6
23	60	0	0.4	3
24	50	1	0.4	5
25	46	0	0.4	3
26	56	1	0.4	1
27	36	0	0.2	2
28	53	1	0.6	7
29	61	0	0.4	3
30	56	1	0.4	6
31	56	0	0.4	5
32	58	1	1	5
33	42	0	0.4	4
34	62	1	0.8	5
35	56	0	0	1
36	52	1	0.2	3
37	52	0	0.6	3
38	52	1	0.6	7
39	45	0	0.4	4
40	49	1	0.4	5
41	48	0	0.2	5
42	48	1	0.4	3
43	51	0	0.2	3
44	59	1	0.6	5
45	54	0	0.6	4
46	50	1	0.6	6
47	47	0	0.2	6
48	52	1	0.4	4
49	51	0	0.4	3
50	45	1	0.2	7
51	50	0	0.2	2
52	45	1	0	7
53	57	0	0.4	3
54	53	1	0.4	6
55	61	0	0.2	3
56	54	1	0.6	5
57	56	0	0.2	5
58	41	1	0.4	5
59	52	0	0.4	4
60	57	1	0.6	5
61	51	0	0.4	5
62	48	1	0.2	5
63	47	0	0.6	7
64	49	1	0.2	4
65	51	0	0.4	4
66	54	1	0.4	3
67	56	0	0.2	3
68	49	1	0	3
69	53	0	0.2	3
70	47	1	0	6
71	45	0	0.2	4
72	51	1	0.2	2
73	53	0	0.2	5
74	44	1	0.2	4
75	48	0	0.4	3
76	53	1	0.6	5
77	58	0	0.2	3
78	45	1	0.4	2
79	63	0	0.2	2
80	53	1	0.6	7
